recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
000316da7,1.6459812,-0.22555612,0.46973962,8.081897,-0.4751212,1.0450399,1.0211985,0.29184735,-0.0106208855,1.0104558,-0.6325988,1.0738173,7.733026,-0.3472506,0.3491835,1.9298716,0.5584425,0.6892934,3.9618304,-0.32266423,1.876079,0.55847573,-0.056680184,0.9846531
003bc2cb2,-0.17047232,0.40977803,0.5057107,6.9728293,2.0152202,0.17661113,0.75123227,0.8067478,1.4478879,0.68883955,0.55759674,1.3138138,3.1297293,0.45783293,-0.025450973,1.0274638,9.615722,2.5522804,1.2765456,0.42341363,0.06839256,2.8293588,0.053993445,0.7308688
0061c037e,0.6156052,0.8058834,-0.31343648,2.280913,0.5278294,1.2448766,-0.46794918,3.4107904,-0.61031616,1.8292742,1.4113041,2.3084095,0.36248222,0.43739292,0.45691964,0.4885345,0.38660103,1.3804561,1.5470582,-0.35256004,1.1546003,0.39001855,3.8880017,2.060451
010eb14d3,7.655094,0.69507986,0.1572045,1.0814772,1.399633,0.56437284,0.96592885,-0.8931585,5.838413,-0.020658063,-0.24621013,-0.9208094,1.4350374,-0.8879398,-0.31868577,-0.55619365,-0.035358615,-1.1512746,1.687008,0.105678044,0.26472902,0.6536813,0.8964777,-0.780967
011318064,0.59855497,0.8303699,-0.43563053,4.69427,2.204287,0.42726454,1.3674953,2.5283046,-0.37064785,0.13576147,-0.41852686,1.5818527,-0.11680278,-0.120973885,7.2961683,3.2018216,0.555501,0.16073783,4.027568,-0.07685094,-1.2908412,1.6458383,-0.011074801,0.3405092
01307e693,-0.17521982,0.31957278,-0.4870835,5.1918645,0.2600439,-0.065842204,0.61416894,6.183489,-0.63817894,0.7207601,-0.2145734,4.1609817,3.1595871,2.2087634,0.6013268,4.500142,1.0649915,2.325533,0.55410206,-1.6091182,-0.033628598,0.6564357,-0.39512822,2.882861
013bd8b85,1.3817737,-0.31969482,-0.14554693,4.0690722,-0.6660585,0.24362406,0.0690899,1.2414796,0.93290406,3.298908,-0.76986957,0.35030162,9.051998,2.5526333,0.6297729,1.066724,0.10765903,-0.122573584,3.9001632,-1.1866853,0.045321595,1.0608009,-0.4302374,0.8414346
01812f522,0.32684126,0.5308984,-0.252373,2.633441,0.64890194,0.0052525913,0.16304047,0.35977688,-0.1887164,1.498395,-0.7684237,1.0311393,2.9119458,-0.2482615,0.071691506,0.19691801,4.4047427,7.0794783,0.39738363,-0.74920034,1.1494837,0.44687033,-0.8654253,1.1837822
019db5220,2.3018112,-0.4009229,0.8670957,3.0362499,-0.38354835,9.41903,0.0047991006,3.414635,-0.24380085,0.98165494,0.84653354,0.865118,3.3816974,0.013286812,0.016667588,0.98595846,1.0923872,1.2959152,1.3520781,0.49647325,0.25827342,0.34515768,1.0941781,7.0843825
01bd97dd6,1.7602333,-0.5277769,1.2401528,4.66054,-0.70715296,0.9313433,1.3658074,1.4417976,0.88047117,0.30820715,-0.23275924,0.5575993,4.927732,-0.34799755,0.33104134,0.48719954,-0.33921957,1.1719563,3.3368266,0.032474816,0.37662467,0.644821,0.21525122,1.5839491
