recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
000316da7,1.4511157,0.26574522,-0.1823996,4.9852853,-2.5450788,-0.5572303,-0.091115095,0.22130296,-1.5297195,0.16707094,-1.3093163,-0.4782201,4.971699,-1.1561779,0.59045047,0.3572892,0.10191104,-1.276599,1.0081799,-2.2352605,-1.5079912,-1.1338612,-1.1703008,1.6404465
003bc2cb2,-0.009607993,0.7942112,-1.0550165,4.612128,-1.5779061,-0.011249342,-1.2189889,1.7388982,-1.3890399,-0.88721645,-0.779876,0.22049677,0.18699937,1.2568978,0.17050742,-0.17397909,7.9430027,-0.08935273,-0.04554139,-0.083743334,-1.2815832,-1.1530159,-0.73760694,0.0029010517
0061c037e,4.3763824,0.6920426,-0.5354856,1.2310718,-0.7261262,2.669527,-0.7176195,2.4293766,-0.76126564,1.2399763,-0.3107964,3.9814692,-0.0033135836,-1.075753,-0.8077689,-0.024731383,-0.34535432,-1.8542076,0.7675041,-0.9121285,1.1658067,-1.6063864,0.3003137,1.8338199
010eb14d3,6.2501197,-0.35224476,-0.2546934,0.7923128,-1.3543085,-0.5162176,-0.426032,1.0241065,8.422037,-0.8351105,0.5260133,-0.45364773,0.8367204,-1.7426009,-0.4099082,-0.2317468,-0.3844723,-0.36763445,1.9601922,-1.756025,-0.661867,1.089104,-1.371922,-0.5457295
011318064,0.31147277,1.3440831,0.14290401,2.8208554,-0.6082534,-0.101957776,-0.4641731,0.9837111,-1.59582,-0.8711154,-0.90158814,0.77743244,0.6480995,-0.44392478,7.0572877,2.8927696,0.30804116,-0.38395318,4.7307477,-0.91750544,-1.1501815,-0.8273253,-0.7039514,-0.2552097
01307e693,0.73425263,-0.009761466,-0.5185426,4.6026907,-1.5782114,-0.33999988,-0.49759954,6.195579,-1.2425388,0.8329953,-0.8123826,0.4598674,0.6849025,2.3015456,0.37069723,5.314884,0.5788993,3.3034544,0.3629047,-2.2251875,0.007800393,-1.8773773,-0.84558505,0.7725704
013bd8b85,-0.38706142,-0.010769995,-0.19537325,4.64592,-0.8744991,1.6458228,-0.14068937,0.91040576,-0.9920529,-0.021507498,-1.0795792,-0.0989504,6.137269,5.4920464,0.5757549,0.5499318,-0.22707796,-0.5731829,2.4550612,-1.7031647,-1.3703362,-1.0824435,-1.7972752,-0.12559795
01812f522,0.15505338,-0.34423664,-0.98688406,2.2842853,-1.9407792,-0.17129765,-0.84020996,1.760123,-1.0023566,0.06954077,-1.0432569,0.023441682,0.88564926,-2.2907102,0.6469562,-0.36066616,1.0654471,7.2473865,-0.22661145,-0.8574617,-0.26165438,-1.9354454,-0.96359724,0.099980555
019db5220,0.3096321,-0.25117242,-0.4662294,1.8401444,0.046307728,6.2866507,-1.1119617,1.2341902,-1.2917781,0.4348752,-0.8581781,-0.16323404,3.917958,-0.19634596,0.234811,0.79365987,-0.73549354,-0.620379,0.57295614,-0.93011296,-0.9910429,-0.21075897,2.7510817,7.0019035
01bd97dd6,0.347115,-0.58568734,-0.67000526,4.786676,-0.77560407,-0.34239677,-0.4080554,0.61057293,-1.1649824,-0.89757174,0.0034920906,-0.20938817,6.1756535,-1.0306361,0.45241004,0.19665423,-0.14628951,-1.0442481,0.14873905,1.4287934,-1.4023862,-2.0382938,-1.04714,0.89186746
01d36def5,0.39445955,0.46272054,-0.095358394,1.2919275,-2.0323532,5.3537493,-1.3859857,4.851332,-1.2793378,1.6935093,0.20903958,-0.118065216,0.23713662,-0.64137954,1.3859338,0.65009433,-1.7806816,-0.68157226,-0.46032903,-0.849328,0.08634296,-1.3136984,-0.48134848,0.2601742
01fefebcb,-0.4119984,0.9613968,-0.8543594,5.1766734,-1.6343042,0.084292345,-0.6966082,0.34362635,-1.5830854,-0.11378601,-1.7186503,-1.0160085,1.4310843,-1.2675936,2.6340146,-0.19470298,0.5317692,-0.37776712,4.1234403,-1.2340103,-0.21730934,-1.2090222,-1.2587485,-0.46634004
0208fec47,0.20244636,-0.55245066,-1.0840844,1.5258253,-1.3967042,-0.9728991,-0.82047707,2.2271614,-1.3415283,-0.5194164,-1.3026402,7.2932167,0.87014955,-1.1346576,0.27137217,6.121368,-0.12901442,-0.18498883,-0.19764125,-1.1936342,-0.10337413,-2.0540197,-0.54705703,-0.35956788
0232841d4,0.6042404,1.9288257,-0.1353056,2.0862088,-1.5747466,0.79564935,-1.0684941,1.5691406,-0.94570804,-0.78587735,-0.72746915,0.12279331,1.7731216,3.1473596,6.3271246,1.0224665,-0.07825246,-0.5992417,1.817362,-0.83383936,-0.7941803,-0.19788826,-0.5111205,-0.21605037
