recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
000316da7,-2.9513152,-3.9465342,-3.212875,3.5741236,-3.5505183,-2.360083,-2.2346354,-2.804199,-3.5154023,-3.1712544,-3.8475,-3.3240678,2.8616128,-3.541983,-2.5460854,-2.6254516,-3.7164292,-2.498765,0.85968626,-3.6540945,-2.1424913,-3.312324,-3.664708,-2.4424393
003bc2cb2,-2.239784,-1.8423133,-2.0727985,5.0583115,-2.8117378,-2.0744543,-2.2258213,-1.0087954,-2.1547296,-1.8813592,-2.3960319,-1.9838977,-0.46014223,-0.83044446,-2.1923683,-1.7721864,4.366976,-2.177116,-2.163965,-3.0785034,-1.9652218,-2.0982177,-1.9364914,-2.358727
0061c037e,1.0686182,-3.3723516,-3.743524,-0.70442957,-3.8012466,0.91858405,-2.9403358,-0.13046026,-4.2483997,-3.6215436,2.9393084,-2.3080368,-2.0499442,-4.8832016,-4.149148,-2.9024053,-3.8286912,-2.3797405,-4.2078795,-1.9460363,-1.7629962,-2.8813121,-2.5626054,-0.51457435
010eb14d3,2.1776595,-3.337069,-3.4365854,-2.883029,-3.8342097,-2.7835793,-4.3150735,-2.709864,3.7503,-3.6183043,-3.4014306,-3.419158,-2.7130659,-4.533291,-2.6731074,-2.7246401,-3.7148628,-2.2580593,-0.9837092,-4.819269,-3.7480304,-2.582924,-4.865841,-2.744359
011318064,-3.2962325,-3.643757,-3.2527907,0.53302586,-3.2425015,-3.1989117,-2.8190174,-2.7999835,-3.6233268,-3.5002546,-3.521655,-3.705325,-2.6555064,-2.7535717,3.3966162,0.45464677,-3.9111185,-3.1011958,0.21298067,-3.2812507,-4.110723,-2.2380378,-4.145532,-2.9709353
01307e693,-3.393789,-2.9586089,-3.0100305,2.3567607,-4.1240606,-2.9172275,-2.3313863,0.70461136,-4.265563,-3.3922012,-3.9439592,-2.65596,1.2365764,-2.4842985,-2.7119098,3.1289976,-3.6590486,-0.5862401,-2.9281807,-3.8994944,-2.939002,-3.6962783,-3.3562381,-2.178145
013bd8b85,-2.496645,-2.4519925,-2.5527709,0.9517159,-3.7636461,-1.1723719,-1.9401431,-1.8338495,-2.7197168,-2.1037636,-3.1650474,-2.714307,3.9692402,0.6287632,-2.4554515,-2.1515925,-2.8684094,-2.4679625,1.7865033,-3.0933905,-2.6276462,-3.8915277,-2.1442473,-1.9429684
01812f522,-3.981877,-2.8444698,-3.6288083,0.47710565,-2.5742083,-3.852685,-2.5101235,-3.0350275,-4.2424283,-2.1590025,-3.7590976,-2.6352215,-2.1284506,-3.2063048,-3.2306845,-3.3429728,-1.3082273,4.3010073,-4.1812778,-3.0769875,-3.642232,-2.5597863,-4.66137,-3.0133226
019db5220,-3.0055015,-3.304441,-3.5631564,-1.9556856,-2.5403059,1.7535071,-3.3510616,-2.6497872,-3.6170769,-2.793302,-3.9112804,-3.3560433,-2.066947,-3.8264096,-3.159309,-2.887458,-3.2266812,-3.2312837,-1.2583611,-4.1869864,-3.406065,-3.4828901,-1.3596452,3.9158466
01bd97dd6,-2.9180477,-3.5541835,-3.1553957,0.85957056,-2.1179183,-2.7648656,-2.4931247,-3.0225809,-4.314418,-3.9943175,-4.448565,-3.9213743,1.9063091,-4.008392,-2.9945078,-3.1579256,-4.572925,-3.1235309,0.14517698,-3.8294857,-3.6693058,-4.328746,-3.487443,-2.772974
01d36def5,-2.7133534,-3.4578626,-4.1347265,-1.6536918,-3.036232,3.218446,-2.9194336,0.9953255,-4.426264,-3.4594018,-3.1942782,-2.9332604,-3.3334928,-3.7207592,-3.3491564,-3.0969694,-2.7154548,-3.7201982,-3.0736365,-3.8005593,-3.138025,-2.9889755,-3.4440506,-1.2338707
01fefebcb,-3.1426775,-2.6811383,-3.0386806,4.1331964,-4.063702,-2.454719,-2.1812372,-2.1163538,-3.2283046,-2.6435041,-3.2515926,-3.270881,0.19897647,-2.521744,0.6332511,-2.8819559,-2.8975825,-2.9986763,2.505683,-3.4273977,-2.7294753,-3.3965487,-3.0425768,-3.0662043
0208fec47,-2.7962587,-2.9091983,-3.8504992,-0.35098004,-2.933532,-2.8048797,-2.4208255,-1.975434,-3.0776668,-4.1728907,-3.700238,2.4955623,-2.2984219,-1.9020193,-3.020097,4.540917,-3.4387822,-1.9361446,-3.1092799,-3.298367,-1.5742402,-3.9670422,-2.7828972,-2.6077342
0232841d4,-2.2313635,-2.962372,-2.5194902,-1.1103706,-2.6334288,-2.4390683,-3.3919046,-2.3738983,-2.8691916,-2.9684672,-3.041378,-2.567638,-2.125141,-1.0016228,3.8984435,-2.0928135,-3.302287,-2.8779788,-0.8255532,-2.9940803,-3.4397578,-1.7101161,-3.3655202,-2.6984107
02c30604d,-3.0221412,-3.3311143,-2.8788226,3.5178044,-3.4915116,-1.7457585,-2.0996854,3.4531667,-3.395733,-2.1818101,-2.5815752,-2.5666075,-1.6856444,-3.9987693,-3.091988,-2.350535,-2.3928406,-2.7885888,-2.7379444,-3.6920214,-2.1722174,-3.7292821,4.280354,-1.7116858
02dbcc383,-2.7863483,-3.185805,-2.616389,0.51051104,-2.896855,-2.531621,-3.3191488,-2.457302,-3.2611392,-2.8940752,-3.5974114,-2.898832,3.8369083,-3.7910903,-2.7225368,-2.2207026,-2.9988446,-2.3377736,0.875128,-3.78068,-2.7296367,-3.762697,-3.2014813,-2.187456
0303dee3c,-3.0204031,0.53020763,-3.5021424,-1.5028757,-3.3353498,-3.4875185,-3.7363355,-2.7497647,-3.3318717,-3.5479538,-2.2362237,-2.862257,-1.9847927,-2.3717315,3.368257,-3.2318609,-4.1690392,-3.6788347,-2.195189,-3.2977178,-3.3720174,-2.9841993,-3.575472,-3.1795778
034f46152,-2.5181966,-1.6811764,-0.63824296,3.7752995,-3.0630705,-0.47543672,-1.8362728,-1.475375,-3.041569,-2.664865,-3.0678704,-2.4761987,4.219411,-2.4736865,-2.3743405,-1.9907856,-3.2664802,-2.0123768,-0.8030119,-3.2493043,-2.4648125,-3.616334,-2.3711817,-1.652885
037460d90,-1.8176647,-1.986449,-4.0322723,3.3660707,-1.935835,-3.1042733,-3.4819393,-2.6773603,-4.0383854,-3.9787195,-3.620804,-2.1843567,-0.7550327,-1.1414814,-3.507519,-2.326812,0.08174446,-2.9573662,-2.8063953,-3.325116,-1.7267219,-0.34811476,-3.685693,-2.0681453
039395460,-3.2899199,2.58216,-3.6011744,2.7001762,-3.4572914,1.1930722,-2.3340828,-2.716894,-2.886081,-3.0043445,-2.9026952,-2.981799,-2.8780613,-2.7853997,-3.4575875,-3.4256794,-2.795137,-3.0735576,2.540416,-0.8511229,-2.8610623,-3.8524632,-2.3436406,-2.798661
039892ae3,-2.2445822,-2.46394,-2.8312051,3.467916,-2.7769716,-0.1709235,-3.1917112,5.118957,-2.9795628,-2.459855,-2.1343954,-2.3485107,-1.3429724,-1.8757893,-2.5741436,-1.8552111,-1.0931971,-2.1879075,-2.5683675,-3.1042838,-1.9085404,-2.919288,-2.021839,-1.8799924
03a06a709,-3.289081,-3.1313198,-1.7649804,2.936606,-4.0202627,-0.56458795,-1.0286388,-1.8541318,-3.8753152,-3.2388337,-3.6155274,-3.3216197,-2.0319169,-3.485623,-3.8148563,-2.5889819,-3.3634107,-3.325691,-0.72580934,-3.6832569,-2.0646281,-3.3964784,-0.6939284,-2.4960248
03a9a5b2a,-2.9841452,-4.053663,-4.0779653,0.63587445,-2.5540526,-4.0027065,-4.0315065,-3.517792,-4.1026187,-4.066677,-5.0173492,-3.8914936,0.9716578,-3.8025005,-3.1873355,-3.6708367,-4.515317,-3.621855,2.6775258,-4.403286,-4.5568504,-3.1938531,-4.433721,-3.011328
03d0c7428,-2.575946,-3.7019413,-3.4269946,2.9747396,-3.144506,-2.4981298,-2.952152,-2.7336464,-3.66301,-3.553496,-3.9704192,-3.0754516,2.9515586,-3.1680996,-2.8599868,-2.9501743,-3.734185,-2.6291256,2.0670366,-3.501312,-2.8084567,-3.8607476,-3.4580846,-2.3122265
03f5a4505,-2.123503,-1.7903448,-1.6345289,-0.07161616,-3.0065794,-2.2104168,-1.9872864,-1.140766,-2.3005247,-2.268168,-2.7383964,-2.1541986,5.25127,-2.1941535,-1.769811,-1.5504236,-2.7558453,-1.7049947,-1.7506106,-2.9480655,-2.429297,-2.9149814,-2.127305,-1.6111654
03f8931a1,-3.0787988,-3.3474596,-3.4553766,-1.2064811,-3.202378,-2.506171,-3.09187,4.44602,-3.309451,-3.1347861,-2.3887231,4.161638,-2.4125333,-3.8313196,-2.8296359,-2.6105359,-1.94417,-2.6991065,-3.3341775,-3.3263419,-1.9599955,-3.831278,-2.9423811,-2.709602
04053cd3e,1.1962892,-0.42170677,-2.9496646,-0.8678778,-2.7875564,-3.116944,-3.3627737,-2.8382232,-2.6700044,-2.7389238,-3.9211876,-3.4914625,3.0959928,-2.9852006,-3.142094,-2.8476553,-3.9724026,-3.4840949,0.4296859,-4.339396,-3.6575203,-3.9431653,-2.8557823,-2.824431
040d4f0d5,-3.1860096,-4.0246744,-3.4319763,-2.61672,-0.49513245,-2.7753756,-3.1914217,-3.555577,-3.4447439,-3.189124,-3.5319617,-2.824083,-2.567747,-3.1266463,3.1474195,-3.2399006,-3.7458534,-3.4490757,-1.0050402,-3.2516537,-3.52351,-2.468836,-3.9213073,-3.4692383
042a6c838,-2.7768056,1.9399234,-2.5858567,3.1723108,-1.822915,-2.5658681,-3.216069,-2.1954205,-3.7468374,-2.9896984,-3.7622035,-3.0289474,-1.3193048,-0.55332524,-3.311381,-2.728832,-3.3822613,-3.318681,-2.9010746,-3.9909146,-2.9280202,-1.1227262,-2.6795475,-2.5214496
044173e0d,-3.7838917,-2.593468,-3.5072103,1.5111921,-4.402951,0.28184396,-3.5469096,-2.6824539,-3.5322511,-3.405708,-3.2878084,-3.6327376,-2.7241156,-2.933388,-1.1297388,-3.1496425,-3.0634625,-3.5160997,3.3701785,-2.2743175,-2.5670738,-3.1324627,-2.0526376,-2.4571495
04496d53a,-2.7212672,-3.9862769,-3.4587562,-0.20053989,-4.1735673,1.3602319,-2.3893611,1.5199933,-4.8742857,-3.6618688,-3.4970407,-3.1505735,-2.2243922,-5.4748197,-4.4439416,-3.1370466,-3.1005363,-3.9273806,-4.609893,-4.379319,-3.0435963,-4.1774573,-2.1232839,-0.87322444
