recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
000316da7,-9.079917700000001,-10.607855399999998,-12.9401117,13.993674900000002,-12.483793,-8.2021576,-6.211764049999999,-8.4108,-12.4229624,-10.481474,-14.2647816,-10.5841873,5.0664856,-13.1037853,-9.278638999999998,-9.5688628,-11.4137986,-11.658858899999998,3.6120956399999997,-12.150081199999999,-12.4190349,-12.840100600000001,-12.674565399999999,-9.1855181
003bc2cb2,-8.104123999999999,-7.152706800000001,-9.7614714,18.1482433,-11.9132363,-7.11151,-7.8275362,-4.3318196,-10.3120145,-10.0750878,-9.352195,-7.9196941999999995,-5.3198769,-8.902733900000001,-6.512735600000001,-7.612498,18.8744679,-6.451683599999999,-9.3077244,-10.5470993,-9.6569727,-9.6659833,-5.542996252,-7.149926399999999
0061c037e,-0.208324905,-12.1789542,-18.8245485,-3.2188157250000007,-17.272503099999998,6.343919960000001,-15.5290108,-7.66669703,-18.9293253,-16.830319,-13.349484,-11.748472800000002,-14.6345721,-20.421747600000003,-16.7040925,-14.0229402,-16.9268967,-17.0750361,-16.971864099999998,-16.3226414,-11.9300723,-19.102989700000002,-9.0156475,-11.988481600000002
010eb14d3,17.6209379,-11.4991122,-14.2235936,-8.382105699999999,-13.7660031,-9.2778017,-14.2151885,-10.046807099999999,9.8052301,-12.602936099999999,-13.555868900000002,-11.624606599999996,-11.6452603,-14.677137100000001,-12.3850553,-11.030451500000002,-13.6544583,-13.2230065,-6.3971673000000004,-16.348594,-14.624572200000001,-13.969675599999999,-15.4500427,-12.7522901
011318064,-12.4182925,-12.1582104,-13.322699800000002,0.4055871499999999,-11.455017,-10.4544023,-10.9267661,-10.0685952,-15.0552338,-14.8823837,-12.1768358,-11.5607897,-11.628995,-13.9291977,16.7314498,1.0359816739999999,-12.5735046,-13.300893300000002,2.9364288600000004,-13.402689500000001,-13.600714199999999,-11.7329933,-13.1177384,-10.937462
01307e693,-11.9097093,-11.267301800000002,-12.3759979,14.1691507,-14.0856012,-10.536511,-9.9765761,7.3014863000000005,-14.441852800000001,-13.0235768,-11.8229154,-9.0896781,-0.32340791,-7.38959863,-9.002407600000002,5.3366874,-10.375743800000002,-7.409578799999999,-12.0710435,-15.444787000000002,-12.090859100000001,-13.9780153,-12.1520395,-7.9377596
013bd8b85,-11.6291045,-10.8838129,-10.916112100000001,4.318850665,-12.4478148,-6.5845374,-9.1197725,-7.6935931,-11.171940900000001,-11.102283499999999,-13.1934749,-10.745457900000002,17.002236800000002,-4.655398999999999,-9.741840799999999,-10.2016912,-11.2906787,-11.0773368,4.6993283,-13.3776348,-11.3640838,-14.0032642,-8.3819584,-9.1452979
01812f522,-12.775755199999999,-11.9084035,-13.317800299999998,-0.712925045,-13.3446253,-14.6701853,-11.897797200000001,-10.4313866,-15.456791099999997,-8.794252,-15.414206499999999,-7.234583970000001,-8.5977227,-14.7176385,-10.590582099999999,-12.018636500000001,-2.5019598000000003,18.9943064,-11.504035299999998,-11.5341961,-12.3403478,-16.136960100000003,-15.5613598,-11.106182500000003
019db5220,-11.7236907,-11.4072025,-13.672802200000001,-7.6179592,-6.7057909,9.8381291,-11.7068154,-10.7645244,-12.9911615,-11.7895522,-11.8152744,-12.161511399999998,-8.1319096,-12.7592673,-11.7405993,-13.811029600000001,-12.6647164,-12.0759513,-5.3468859140000005,-13.6559155,-13.0583754,-13.898508399999999,-5.91595872,17.025365700000002
01bd97dd6,-12.596916,-14.373187399999999,-15.4439612,9.7952239,-13.744737399999998,-10.2954983,-11.0593423,-10.4818423,-15.615123699999998,-15.8078015,-15.1515715,-12.181007999999999,4.7504307,-16.631731300000002,-11.8350749,-12.9799486,-15.0003256,-10.8743025,-5.405005860000001,-12.651881499999998,-13.7525237,-14.732633,-12.8543115,-10.4123626
