recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
000316da7,1.4863468,0.72081023,1.7242259,5.077437,-1.3788215,1.2750437,0.7463828,0.698582,1.1439068,0.4146794,-0.7356214,-0.4777682,6.032416,0.26258823,0.23497923,0.62871224,0.7645623,0.0886834,3.0891294,-1.7853132,-0.2583712,0.21366253,0.07024796,2.2711687
003bc2cb2,0.19238499,1.2003769,1.0837013,6.980057,-0.8788317,0.09352505,0.25531965,1.3990563,3.0536933,0.91405416,-0.00028337108,-0.14947198,2.2848442,-0.3399498,-0.057742644,0.79147255,8.49661,0.34774706,1.59953,-0.05734968,-0.99321413,2.7111342,0.7048255,0.13090608
0061c037e,4.8305817,1.3706539,1.6027788,1.8760502,-0.7352242,3.913319,1.0404961,0.15846285,-0.14873904,1.1532142,1.3259169,1.3686426,0.63418955,1.4897215,-0.7925139,-0.3585411,0.08224984,2.5828075,0.37136567,1.786772,1.068265,-0.8685061,1.7616944,2.2332463
010eb14d3,9.76899,1.0210485,-0.38017356,0.5598772,-1.0956249,1.1698555,-0.09845934,1.2796845,7.5110445,-0.9810697,-0.22217704,-1.3892621,-0.92667294,0.19229738,0.4864398,-0.26682428,-0.52434266,0.08010624,3.2628796,0.07692884,0.032765336,0.3817762,-0.10261324,0.54619604
011318064,1.5456678,1.4150923,-0.7688771,2.9860978,0.03155602,1.0864147,0.100782335,1.8757329,-0.14841442,0.824148,-0.39796543,0.9941177,-0.2683377,-0.38683403,6.5040975,5.5856295,0.33806384,1.288102,3.654079,-1.0396656,0.75143,-0.16200042,-0.9239073,0.51630956
01307e693,0.0013418425,0.69539285,0.42966336,4.849033,0.18650523,0.039559536,0.70852935,8.997505,-0.81755626,-0.22513801,0.74996656,2.5743082,2.9233506,1.2618369,0.2436905,5.8044057,1.9732407,1.5914899,0.82139134,-0.6712654,0.7319368,-0.40106457,-0.030091628,2.0765114
013bd8b85,0.30743596,-2.4379423,-0.02083797,4.5403233,-1.5603106,1.0454537,-0.6147737,0.1380955,1.9156028,1.6804519,-0.5949725,-0.8565956,7.79369,1.271312,-0.83071154,0.9953912,-0.17736135,-1.0465252,2.5799556,-2.5974956,-0.6218364,-0.0154926805,0.5002878,2.047954
01812f522,-0.5302266,-0.6622061,2.0286765,3.0758846,0.021986771,-1.2900198,0.8697496,0.4962779,-2.099517,1.1913335,0.66450274,1.3051035,1.5915698,-1.1082507,-0.2839466,0.11024492,2.0528471,8.237328,0.66761976,-1.0762463,1.3632958,-1.0962962,-0.67256975,0.7939522
019db5220,0.32551458,-0.19088943,-0.50691396,1.4526155,0.78229654,6.4381633,-0.17081682,1.917963,0.02280863,1.1526042,0.39288443,0.29582256,1.3509622,0.4078991,-0.13399696,0.67389655,-0.43028396,0.02451994,-0.00034006,-0.05286685,0.043956902,0.2670198,1.5363108,6.3902974
01bd97dd6,0.3095339,-1.4515394,1.1500603,4.9734063,-0.3159278,1.1574049,0.13321613,0.29998407,0.856503,0.16788128,-0.3852956,-0.8380802,6.734759,-0.13775368,0.70320565,0.011130524,0.18657066,-0.03451007,1.491792,-1.8470368,-0.4722207,0.12396785,0.14546612,2.832618
01d36def5,1.4632311,0.7623802,-0.9441296,0.9554881,-0.73081255,5.6542273,0.4309643,5.5935445,1.3220186,3.085805,0.75786716,1.1419879,0.109890014,1.1078877,0.096576124,1.6492834,-0.1898675,0.4345951,0.06662505,0.752853,1.276071,-1.2083044,1.7813017,1.6691563
01fefebcb,0.9888278,1.7718289,0.82303476,9.251563,-1.411332,2.6118822,0.65941226,1.4311376,0.9332404,0.29181474,-1.1185056,0.07012167,1.0505979,0.74095696,5.794036,0.9950792,1.0189639,0.24175648,4.5579324,-0.9109318,1.2272253,-0.808611,0.30527216,1.1857423
0208fec47,-0.020707438,0.06149462,-0.17480981,1.7559197,1.5708299,-0.11552758,0.0054787192,2.297217,0.5551127,0.7419017,1.5486658,5.4899826,0.22780855,0.9080436,1.0660108,8.032207,1.0372652,2.0278602,0.5763958,-0.21005937,0.008996576,0.09162591,-0.027115049,-0.44703844
0232841d4,-0.012512165,-0.22608131,-0.9995091,0.50451237,-1.2547853,0.5135535,-0.045091383,0.588016,-1.4100829,0.23040628,-0.49003923,0.6769938,1.0473294,2.4271352,7.9293036,0.8398883,-0.7179064,0.04738722,1.9055827,0.02051616,0.111344524,-0.4353895,-0.9245616,0.20779327
02c30604d,1.0092609,0.8551631,1.234282,5.21758,-1.318893,1.2157168,0.5029473,7.63018,-0.19637617,-0.4176491,1.1648443,-0.0011715468,1.5065862,0.5701044,0.42586383,2.1468217,0.8609424,0.13724028,-0.7225971,0.22448471,0.61012477,-0.626612,7.6127234,4.8682485
02dbcc383,-0.14925042,-0.58336926,0.4422602,3.4241803,-1.1228096,1.2770118,-0.80469155,0.124627866,0.045016415,-0.16511735,-1.6382712,-0.4827906,7.1136208,0.12245002,0.85744834,-0.5774039,-0.7682505,-1.4469737,1.209098,-2.3560266,-0.7445396,-0.4029275,-0.11020084,0.7373731
0303dee3c,0.28068808,3.9015756,0.64388657,1.974493,0.09382026,0.7776806,0.39383358,3.0318027,-0.020727377,-0.7902945,2.0083077,1.4930696,2.369276,0.67411023,5.9519324,0.38462448,0.12833941,-0.5105923,0.092007026,1.826918,-0.0064887423,0.11223847,0.025926609,1.4254872
034f46152,0.29442742,0.18639196,2.6052253,5.6182256,-0.2346288,4.874592,0.55576533,0.27639696,-0.27524206,0.4466134,-0.13133582,-0.26738927,6.8760085,0.22760151,-0.8518042,0.4140416,0.18912221,0.113623835,1.9169778,1.4930136,0.14450464,-0.40507105,1.5520387,2.604945
037460d90,2.6733022,4.252689,1.2549213,6.926624,1.5043545,2.483021,0.28711486,1.0842001,-0.48790652,0.072909676,0.4873275,0.99046516,1.8418778,1.6009773,-0.86670655,-0.9610223,1.9625653,0.633675,1.6753805,0.11206433,-0.38516876,0.483666,-0.38137236,1.0853355
039395460,2.3604264,4.3816924,0.5962148,6.521053,-0.72375244,3.237542,1.2106789,0.51818234,2.5281465,1.3076409,0.9186688,1.1871421,1.2776498,0.24870497,-0.003815564,-0.25859872,0.35075328,1.6870967,3.2676961,1.5700399,1.0013075,-0.2547536,0.7876104,2.8632705
039892ae3,-0.16621539,2.0816374,1.0817976,6.3801603,-1.3118308,1.1622826,0.3521013,9.477987,-0.823187,0.8584768,1.0304693,0.44909108,1.913713,1.1974938,-0.6360025,2.4779286,2.6874306,1.2537969,-0.71554893,-0.22358002,0.99841535,-1.3629823,0.40945828,1.5476172
03a06a709,0.49763706,0.61004955,1.5475104,2.7304935,-0.2605936,2.2712727,2.851509,-0.31240872,-0.19701742,-0.16337499,0.8661794,1.0281328,1.8474215,0.2615489,-0.096636936,0.3352189,0.054394364,0.15484206,0.4153227,1.2551308,0.3322217,-0.10027532,1.2564348,3.1711357
03a9a5b2a,1.0973588,-0.9980647,0.4312493,5.0936866,-0.9915758,0.42793462,-0.3858681,-0.09552571,0.7643804,-0.10012593,-1.4918755,-1.1563616,6.591467,0.089557715,-0.4144533,0.14271872,-0.085255004,-1.0806129,1.9959488,-2.7495964,-1.2805045,-0.014377508,-0.20330663,1.2951863
03d0c7428,1.2057502,-1.2076089,1.2543266,4.9825068,-0.5785604,0.7590323,0.4055907,-0.025170475,0.9752848,0.05831982,-0.02987331,-0.45895487,8.029985,-0.045094747,-0.17470853,-0.35237017,-0.24031135,-0.8994798,4.950367,-2.5536454,-0.99884325,-0.24822886,0.12756994,1.5346912
03f5a4505,-0.17144924,-0.13584384,1.598462,3.131843,-1.1077029,1.2914608,-1.0201964,0.02601096,0.76387984,-0.19165674,-1.3016826,0.5559227,8.627997,0.32158485,1.6049172,-0.36892667,-0.08402289,-0.48244473,0.2968283,-2.0548658,-0.45138624,-0.5424317,1.2275755,2.3149087
03f8931a1,-0.45291436,0.6111549,-0.7579001,3.5515604,0.18047698,0.4540326,0.74761844,9.386142,-0.9019054,-1.2723895,1.7306031,5.828786,0.4931076,0.53178126,0.8264015,2.6795766,1.9548873,0.82410926,-0.8786345,1.4313252,0.646429,-0.12576231,0.49736863,4.6442256
04053cd3e,5.3586297,6.059316,0.48543477,3.2246382,-0.754767,0.6862728,-1.0012505,0.68710995,1.1189824,0.46664995,-0.6923998,-0.13728562,7.7610617,0.99399155,0.85523033,0.6557028,-1.0432572,0.77894664,2.3162239,-0.2983225,-0.4099295,-0.23795131,-0.38133857,0.9116939
040d4f0d5,-0.3532574,-0.14840224,-0.5599977,0.655536,1.2102431,-0.08639958,0.3049164,0.8279304,-0.53361416,1.1620312,-0.23859045,1.4817144,1.7172192,-0.58874357,7.165809,1.1490782,-0.9590038,1.4367958,2.1884878,-0.09279426,0.07670464,0.15769975,-1.1059867,0.8020584
042a6c838,1.0912935,3.2888205,1.1007398,6.0028567,1.5288283,0.22938068,0.25442696,2.684193,-1.1664404,0.050701004,0.37261307,-0.06710203,3.0784883,1.9713424,-0.40199092,-0.6977825,1.4684508,0.123933725,-0.5412067,-0.7657443,-0.84170425,0.014245211,0.5293147,0.76550615
044173e0d,0.6863579,2.1723669,1.2215269,4.0198197,-2.1194437,2.6230848,-0.8032362,1.571338,0.3919684,-0.8627302,-0.80766577,-0.7729753,1.3764594,0.62420636,0.3838787,0.10808712,0.77146876,-0.64221174,2.2576594,-0.96325785,0.45613113,-1.4582088,1.5700822,2.3990235
04496d53a,1.7123406,1.6931672,1.0255381,2.76562,-1.2822192,3.377625,0.019855317,4.848365,-0.13307528,-0.49121734,0.39138955,0.378728,1.3544608,0.8098846,-0.075424075,1.5068698,1.2042572,0.18131922,-0.85573673,0.8942943,0.7934707,-1.204247,1.4907826,3.1376734
